two_theta,CPS,ESD
17.76,29.17,2.646
17.78,4.17,1
17.8,20.83,2.236
17.82,37.5,3
17.84,54.17,3.606
17.86,16.67,2
17.88,29.17,2.646
17.9,37.5,3
17.92,41.67,3.162
17.94,25,2.449
17.96,41.67,3.162
17.98,33.33,2.828
18,20.83,2.236
18.02,62.5,3.873
18.04,54.17,3.606
18.06,41.67,3.162
18.08,66.67,4
18.1,58.33,3.742
18.12,83.33,4.472
18.14,33.33,2.828
18.16,95.83,4.796
18.18,91.67,4.69
18.2,70.83,4.123
18.22,125,5.477
18.24,120.83,5.385
18.26,141.67,5.831
18.28,254.17,7.81
18.3,358.33,9.274
18.32,666.67,12.649
18.34,1275,17.493
18.36,1475,18.815
18.38,845.83,14.248
18.4,395.83,9.747
18.42,320.83,8.775
18.44,295.83,8.426
18.46,345.83,9.11
18.48,487.5,10.817
18.5,383.33,9.592
18.52,275,8.124
18.54,216.67,7.211
18.56,233.33,7.483
18.58,216.67,7.211
18.6,250,7.746
18.62,266.67,8
18.64,212.5,7.141
18.66,250,7.746
18.68,216.67,7.211
18.7,220.83,7.28
18.72,266.67,8
18.74,233.33,7.483
18.76,258.33,7.874
18.78,250,7.746
18.8,233.33,7.483
18.82,258.33,7.874
18.84,287.5,8.307
18.86,333.33,8.944
18.88,412.5,9.95
18.9,550,11.489
18.92,750,13.416
18.94,1129.17,16.462
18.96,1566.67,19.391
18.98,1958.33,21.679
19,2204.17,23
19.02,2637.5,25.159
19.04,2937.5,26.552
19.06,3304.17,28.16
19.08,3991.67,30.952
19.1,6016.67,38
19.12,13204.17,56.294
19.14,54066.67,113.912
19.16,94737.5,150.788
19.18,62695.83,122.666
19.2,50391.67,109.973
19.22,38525,96.156
19.24,12812.5,55.453
19.26,5441.67,36.139
19.28,4083.33,31.305
19.3,3900,30.594
19.32,3741.67,29.967
19.34,3233.33,27.857
19.36,2462.5,24.31
19.38,1883.33,21.26
19.4,1525,19.131
19.42,970.83,15.264
19.44,679.17,12.767
19.46,462.5,10.536
19.48,395.83,9.747
19.5,362.5,9.327
19.52,458.33,10.488
19.54,341.67,9.055
19.56,400,9.798
19.58,325,8.832
19.6,345.83,9.11
19.62,350,9.165
19.64,300,8.485
19.66,250,7.746
19.68,304.17,8.544
19.7,266.67,8
19.72,262.5,7.937
19.74,245.83,7.681
19.76,275,8.124
19.78,270.83,8.062
19.8,258.33,7.874
19.82,225,7.348
19.84,250,7.746
19.86,175,6.481
19.88,187.5,6.708
19.9,225,7.348
19.92,262.5,7.937
19.94,208.33,7.071
19.96,187.5,6.708
19.98,245.83,7.681
20,220.83,7.28
20.02,204.17,7
20.04,200,6.928
20.06,250,7.746
20.08,141.67,5.831
20.1,216.67,7.211
20.12,237.5,7.55
20.14,212.5,7.141
20.16,220.83,7.28
20.18,150,6
20.2,195.83,6.856
20.22,162.5,6.245
20.24,154.17,6.083
20.26,150,6
20.28,170.83,6.403
20.3,204.17,7
20.32,137.5,5.745
20.34,125,5.477
20.36,141.67,5.831
20.38,145.83,5.916
20.4,133.33,5.657
20.42,175,6.481
20.44,158.33,6.164
20.46,158.33,6.164
20.48,175,6.481
20.5,145.83,5.916
20.52,112.5,5.196
20.54,137.5,5.745
20.56,125,5.477
20.58,112.5,5.196
20.6,141.67,5.831
20.62,100,4.899
20.64,116.67,5.292
20.66,112.5,5.196
20.68,95.83,4.796
20.7,83.33,4.472
20.72,87.5,4.583
20.74,95.83,4.796
20.76,83.33,4.472
20.78,66.67,4
20.8,95.83,4.796
20.82,70.83,4.123
20.84,83.33,4.472
20.86,100,4.899
20.88,75,4.243
20.9,100,4.899
20.92,62.5,3.873
20.94,62.5,3.873
20.96,25,2.449
20.98,66.67,4
21,45.83,3.317
21.02,50,3.464
21.04,50,3.464
21.06,33.33,2.828
21.08,12.5,1.732
21.1,45.83,3.317
21.12,8.33,1.414
21.14,29.17,2.646
21.16,37.5,3
21.18,20.83,2.236
21.2,25,2.449
21.22,41.67,3.162
21.24,33.33,2.828
21.26,25,2.449
21.28,16.67,2
21.3,12.5,1.732
21.32,8.33,1.414
21.34,25,2.449
21.36,16.67,2
21.38,37.5,3
21.4,25,2.449
21.42,20.83,2.236
21.44,25,2.449
21.46,12.5,1.732
21.48,8.33,1.414
21.5,25,2.449
21.52,20.83,2.236
21.54,8.33,1.414
21.56,16.67,2
21.58,16.67,2
21.6,4.17,1
21.62,29.17,2.646
21.64,12.5,1.732
21.66,20.83,2.236
21.68,20.83,2.236
21.7,12.5,1.732
21.72,25,2.449
21.74,25,2.449
21.76,0,0
21.78,16.67,2
21.8,16.67,2
21.82,4.17,1
21.84,29.17,2.646
21.86,16.67,2
21.88,20.83,2.236
21.9,8.33,1.414
21.92,29.17,2.646
21.94,4.17,1
21.96,8.33,1.414
21.98,33.33,2.828
22,16.67,2
22.02,25,2.449
22.04,16.67,2
22.06,16.67,2
22.08,12.5,1.732
22.1,20.83,2.236
22.12,20.83,2.236
22.14,12.5,1.732
22.16,16.67,2
22.18,4.17,1
22.2,8.33,1.414
22.22,12.5,1.732
22.24,16.67,2
22.26,0,0
22.28,12.5,1.732
22.3,16.67,2
22.32,12.5,1.732
22.34,16.67,2
22.36,37.5,3
22.38,29.17,2.646
22.4,8.33,1.414
22.42,4.17,1
22.44,4.17,1
22.46,12.5,1.732
22.48,4.17,1
22.5,16.67,2
22.52,25,2.449
22.54,8.33,1.414
22.56,25,2.449
22.58,4.17,1
22.6,8.33,1.414
22.62,12.5,1.732
22.64,16.67,2
22.66,8.33,1.414
22.68,25,2.449
22.7,0,0
22.72,16.67,2
22.74,25,2.449
22.76,8.33,1.414
22.78,20.83,2.236
22.8,8.33,1.414
22.82,8.33,1.414
22.84,4.17,1
22.86,16.67,2
22.88,12.5,1.732
22.9,16.67,2
22.92,25,2.449
22.94,25,2.449
22.96,16.67,2
22.98,12.5,1.732
23,20.83,2.236
23.02,25,2.449
23.04,20.83,2.236
23.06,12.5,1.732
23.08,16.67,2
23.1,12.5,1.732
23.12,37.5,3
23.14,8.33,1.414
23.16,8.33,1.414
23.18,12.5,1.732
23.2,16.67,2
23.22,4.17,1
23.24,25,2.449
23.26,12.5,1.732
23.28,4.17,1
23.3,8.33,1.414
23.32,25,2.449
23.34,33.33,2.828
23.36,4.17,1
23.38,0,0
23.4,8.33,1.414
23.42,16.67,2
23.44,8.33,1.414
23.46,20.83,2.236
23.48,12.5,1.732
23.5,8.33,1.414
23.52,25,2.449
23.54,16.67,2
23.56,16.67,2
23.58,20.83,2.236
23.6,16.67,2
23.62,20.83,2.236
23.64,29.17,2.646
23.66,37.5,3
23.68,8.33,1.414
